Qty,Value,Device,Package,Parts,Description,MF,MPN,OC_FARNELL,OC_NEWARK
1,1N4004,1N4004,DO41-10,D7,DIODE,,,,
2,22-23-2031,22-23-2031,22-23-2031,"POWER, UART",".100"" (2.54mm) Center Header - 3 Pin",MOLEX,22-23-2031,1462950,30C0862
1,22-23-2051,22-23-2051,22-23-2051,OUTPUT,".100"" (2.54mm) Center Header - 5 Pin",MOLEX,22-23-2051,1462952,38C9178
1,22-23-2071,22-23-2071,22-23-2071,X1,".100"" (2.54mm) Center Header - 7 Pin",MOLEX,22-23-2071,1654534,56H0445
7,2SC1815,2SC1815,TO92-ECB,"T1, T3, T4, T5, T6, T7, T8",NPN EPITAXIAL TRANSISTOR,,,,
5,330,R-EU_0204/7,0204/7,"R1, R2, R4, R5, R13","RESISTOR, European symbol",,,,
3,3k3,R-EU_0204/7,0204/7,"R8, R12, R16","RESISTOR, European symbol",,,,
1,47k,R-EU_0204/7,0204/7,R11,"RESISTOR, European symbol",,,,
1,ARDUINO-PRO-MINI-5.0V#SMP,ARDUINO-PRO-MINI-5.0V#SMP,ARDUINO-PRO-MINI#SMP,ARDUINO_PRO-MINI,Arduino Pro Mini (and compatible devices) with 2 connectors only,,,,
1,DC-DC-STEP-DOWN-LM2596,DC-DC-STEP-DOWN-LM2596,DC-DC-STEP-DOWN-LM2596,STEP_DOWN,DC/DC Step-Down Regulator based on LM2596-ADJ chip,,,,
